BLANKS,LOG2FC,LOG10TTEST,TTEST,GROUP
0,-0.141491834,0.205736546,0.622677902,NotImputed (0%)
0,-0.109534444,0.290276457,0.512535018,NotImputed (0%)
0,0.181284076,1.197706983,0.063429752,NotImputed (0%)
0,-0.264455032,0.366314177,0.430215272,NotImputed (0%)
0,-0.22772049,0.564619791,0.272508597,NotImputed (0%)
0,0.075513578,0.087525405,0.817475216,NotImputed (0%)
0,-0.012661753,0.027419272,0.93881653,NotImputed (0%)
0,0.155037092,0.645678777,0.226110757,NotImputed (0%)
0,-0.164376087,0.921002274,0.119949302,NotImputed (0%)
0,0.02094699,0.039334289,0.913409893,NotImputed (0%)
0,-0.073410618,0.367160696,0.429377521,NotImputed (0%)
0,-0.104110761,0.246241137,0.567229571,NotImputed (0%)
0,-0.341599131,1.178449288,0.066305677,NotImputed (0%)
0,0.387757132,1.28676931,0.051669075,NotImputed (0%)
0,-0.101312187,0.181363014,0.658623142,NotImputed (0%)
0,0.049858456,0.161067852,0.690131972,NotImputed (0%)
0,-0.032411607,0.125740872,0.748616039,NotImputed (0%)
0,-0.308719028,0.626840175,0.236134708,NotImputed (0%)
0,-0.228810831,0.914264113,0.12182485,NotImputed (0%)
0,0.038217462,0.056089233,0.878841926,NotImputed (0%)
0,0.248830188,0.501160903,0.315383593,NotImputed (0%)
0,0.045530575,0.158217537,0.694676269,NotImputed (0%)
0,-0.562893236,1.087986178,0.081660836,NotImputed (0%)
0,-0.158737867,1.144191982,0.071747706,NotImputed (0%)
4,0.714772293,0.441934293,0.361464547,NotImputed (0%)
0,0.175117845,0.946023974,0.113233785,NotImputed (0%)
0,0.012617777,0.020113928,0.954742097,NotImputed (0%)
0,-0.458958406,1.25189071,0.055989848,NotImputed (0%)
0,-0.027459357,0.148031094,0.711162596,NotImputed (0%)
0,-0.27989155,1.152524032,0.070384328,NotImputed (0%)
0,-0.217113635,0.436682864,0.365861858,NotImputed (0%)
0,-0.229050485,0.412097044,0.387171121,NotImputed (0%)
0,-0.185629668,0.593374434,0.25505014,NotImputed (0%)
0,-0.098377883,0.144844252,0.716400282,NotImputed (0%)
0,-0.230076564,0.63341409,0.232587253,NotImputed (0%)
0,0.223717363,0.550173695,0.281725595,NotImputed (0%)
0,-0.065265395,0.126378814,0.747517192,NotImputed (0%)
0,0.00486611,0.034763748,0.923073433,NotImputed (0%)
0,0.143756016,0.360529225,0.435984224,NotImputed (0%)
0,-0.046678425,0.060328811,0.87030442,NotImputed (0%)
0,0.127872507,0.591254818,0.256297979,NotImputed (0%)
0,0.017060555,0.021099565,0.952577755,NotImputed (0%)
0,-0.104702759,0.189561871,0.646305913,NotImputed (0%)
0,-0.346047371,1.135736347,0.073158308,NotImputed (0%)
0,-0.144002782,0.673626576,0.212018337,NotImputed (0%)
0,0.145554868,0.557048596,0.27730098,NotImputed (0%)
0,-0.162431201,0.346731177,0.45005835,NotImputed (0%)
0,-0.184097934,0.160594634,0.690884368,NotImputed (0%)
0,-0.169121686,0.43462001,0.367603798,NotImputed (0%)
0,-0.079949403,0.59375884,0.254824488,NotImputed (0%)
0,-0.055341331,0.112733995,0.771375792,NotImputed (0%)
0,0.163442545,0.371323548,0.425281461,NotImputed (0%)
0,-0.178004107,0.464773185,0.342946847,NotImputed (0%)
0,-0.179114745,0.604267279,0.248732607,NotImputed (0%)
0,0.070107414,0.691764379,0.203345994,NotImputed (0%)
0,0.07974875,0.211475585,0.614503576,NotImputed (0%)
0,0.091503765,0.169838211,0.676334885,NotImputed (0%)
0,-0.13508874,0.473756396,0.335925989,NotImputed (0%)
0,-0.182123835,0.296184541,0.505609772,NotImputed (0%)
0,-0.060262188,0.108593632,0.778764897,NotImputed (0%)
0,0.028144702,0.12890025,0.743189816,NotImputed (0%)
3,-0.911276306,0.820266693,0.151263208,NotImputed (0%)
0,0.121216757,0.334996534,0.462384711,NotImputed (0%)
0,0.216414649,0.573667917,0.266889866,NotImputed (0%)
0,-0.226323906,1.043347964,0.09050072,NotImputed (0%)
0,-0.397523948,1.138332806,0.072722231,NotImputed (0%)
0,-0.236882155,1.087018788,0.081842938,NotImputed (0%)
0,0.005927075,0.008821064,0.979893634,NotImputed (0%)
0,-0.173117619,0.495697081,0.319376472,NotImputed (0%)
0,0.03706771,0.058102195,0.874777905,NotImputed (0%)
0,-0.317875162,0.423912023,0.376780118,NotImputed (0%)
0,0.015275694,0.105558734,0.784226052,NotImputed (0%)
0,0.074608593,0.555519559,0.278279004,NotImputed (0%)
0,0.080498363,0.15824682,0.694629431,NotImputed (0%)
2,-0.948417201,0.036512252,0.919364538,NotImputed (0%)
0,-0.044335764,0.127108599,0.746262126,NotImputed (0%)
0,-0.066617083,0.17177808,0.673320629,NotImputed (0%)
0,-0.171114295,0.529508309,0.295455236,NotImputed (0%)
0,-0.17156673,0.3410006,0.456036286,NotImputed (0%)
0,-0.033583566,0.066011669,0.858990442,NotImputed (0%)
0,-0.131218249,0.289609445,0.513322801,NotImputed (0%)
0,0.031652002,0.084535064,0.823123377,NotImputed (0%)
0,-0.348569638,2.535276967,0.002915567,NotImputed (0%)
0,-0.341456044,0.846085973,0.142532541,NotImputed (0%)
0,-0.241107494,0.843381217,0.143422994,NotImputed (0%)
3,0.35039577,0.404567482,0.393942211,NotImputed (0%)
