PSM,File,RT,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_1.raw,74.03,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_2.raw,74.6,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_3.raw,74.2,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_4.raw,73.77,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_5.raw,71.28,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_6.raw,73.36,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_7.raw,71.92,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_8.raw,73.76,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_9.raw,71.79,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_10.raw,74.51,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_11.raw,72.36,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_12.raw,74.31,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_13.raw,71.51,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_14.raw,73.83,,,,,
AENAGLSsTAGLLR,201123L_SAM07668_BY90_DR294A_CF_15.raw,71.62,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_1.raw,61.97,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_2.raw,63.44,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_3.raw,62.13,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_4.raw,62.96,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_5.raw,61.01,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_6.raw,62.43,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_7.raw,62.04,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_8.raw,63.09,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_9.raw,61.85,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_10.raw,63.82,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_11.raw,62.6,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_12.raw,63.62,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_13.raw,61.63,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_14.raw,63.23,,,,,
APGGLsLHDYK,201123L_SAM07668_BY90_DR294A_CF_15.raw,61.68,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_1.raw,58.17,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_2.raw,58.27,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_3.raw,58.77,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_4.raw,59.57,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_5.raw,57.69,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_6.raw,59.11,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_7.raw,58.12,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_8.raw,61.48,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_9.raw,58.13,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_10.raw,59.04,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_11.raw,58.87,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_12.raw,59.31,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_13.raw,58.7,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_14.raw,58.1,,,,,
GAsTFKEEPQTVPEAR,201123L_SAM07668_BY90_DR294A_CF_15.raw,58.47,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_1.raw,52.93,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_2.raw,53.85,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_3.raw,53.11,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_4.raw,53.63,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_5.raw,52.11,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_6.raw,52.92,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_7.raw,53.22,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_8.raw,53.72,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_9.raw,53.41,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_10.raw,54.53,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_11.raw,53.69,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_12.raw,54.39,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_13.raw,53.25,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_14.raw,54.19,,,,,
LAssELER,201123L_SAM07668_BY90_DR294A_CF_15.raw,53.25,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_1.raw,83.22,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_2.raw,85.94,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_3.raw,83.67,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_4.raw,82.67,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_5.raw,80.92,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_6.raw,80.4,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_7.raw,82.94,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_8.raw,85.46,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_9.raw,82.74,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_10.raw,86.77,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_11.raw,83.5,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_12.raw,85.92,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_13.raw,82.46,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_14.raw,85.53,,,,,
LLKPsLAVNLADPYR,201123L_SAM07668_BY90_DR294A_CF_15.raw,82.47,,,,,
