"F_127N","F_127C","F_128N","F_130N","F_130C","F_131N","ID","Acc"
67637.975587,88151.83458,81818.304558,135161.0053636,224394.654548,133510.4604565,"A0AVT1","A0AVT1"
195524.9477328,383957.5692036,305489.3941502,359897.09387,632025.560327,397809.48479,"A0FGR8","A0FGR8"
194007.2411399,334714.054115,266522.2642854,688511.721071,1214354.105658,741894.333027,"A5YKK6","A5YKK6"
121066.792482,228865.403346,179391.604006,244774.988268,431770.1914,257234.835932,"A6NHR9","A6NHR9"
1138948.2477203,1834876.4488359,1519555.3825009,1813719.6706428,3334015.1670283,2102461.3888092,"B0I1T2","B0I1T2"
222961.056644,305849.661702,275011.91649,358993.263728,593053.34282,441768.184664,"O00116","O00116"
195783.50976,265984.796876,236784.763694,349181.58392,567978.57032,360114.88874,"O00139","O00139"
84751.660144,124255.13869,130261.124982,206275.78125,302959.90235,201577.89063,"O00148","O00148"
136626.239748,253145.534182,183403.687496,362247.023458,670206.39073,420111.501968,"O00154","O00154"
78882.7899146,139052.193356,134324.7774664,232739.558112,407318.449232,247797.87842,"O00170","O00170"
28964.10498,53512.328122,40970.979008,72542.33008,128688.71682,176575.2422,"O00178","O00178"
76765.830554,131409.038086,103749.442386,132042.87695,258513.60162,162973.093758,"O00231","O00231"
24783.058667,33241.341308,31556.800778,50075.192148,78924.359627,59075.413819,"O00232","O00232"
68414.84863,130514.473128,105743.337889,315034.840806,523465.12306,334263.32519,"O00268","O00268"
265584.518738,428381.2786482,355716.7280669,649510.279352,1226547.102994,699704.2674192,"O00299","O00299"
89016.013436,103741.715348,127469.437506,281267.402336,365430.405796,326843.463454,"O00303","O00303"
97027.300782,163661.385758,144409.69385,345484.681662,485161.444348,475811.252,"O00410","O00410"
60066.7334,99943.63281,76089.83399,111773.42188,179538.41407,200102.57816,"O00422","O00422"
35907.14753,65881.985962,55000.59602,76461.2588303,139429.728048,84646.723885,"O00425","O00425"
57369.002921,115825.974128,79363.536871,139890.041497,243402.382812,139731.073726,"O00429","O00429"
290813.132812,469658.84572,369589.3672,434522.56834,823552.20706,502572.23437,"O00541","O00541"
948461.5618838,1650692.5631116,1262444.9716728,1589855.5722658,2915220.7403954,1727534.613497,"O00567","O00567"
330926.149766,536921.502974,398011.7587876,462381.5389088,867442.221616,488739.625016,"O00571","O00571"
116247.271,199720.484356,141852.675796,202936.330076,356918.13086,233868.398428,"O00743","O00743"
6518.223267,16097.128418,12371.905272,22316.532228,34551.887704,23958.666016,"O14497","O14497"
20446.438966,31825.83545,22873.16211,25935.923828,47471.64258,26918.012696,"O14656","O14656"
30701.379638,51519.126956,44251.421874,51931.076168,109850.852536,67395.541988,"O14744","O14744"
221055.171869,375629.641602,379028.870582,1037052.02549,1814735.18179,1056998.341878,"O14776","O14776"
59133.361328,123324.92968,94349.59375,128929.59571,210180.53126,146589.4004,"O14818","O14818"
78186.416024,128611.183596,106448.649412,180469.269532,345873.39453,177688.460936,"O14929","O14929"
92723.6071963,133332.3222938,154029.7272276,454537.5399733,713220.206764,444011.9490969,"O14974","O14974"
197405.029298,263643.154286,249275.86133,278387.82034,381166.94924,299901.42771,"O14979","O14979"
198950.783451,320380.16162,289575.395503,385928.803216,832900.74998,471752.152358,"O14980","O14980"
168470.8658026,261414.7070895,228045.8890662,297608.7752791,479554.347579,315695.7372342,"O15042","O15042"
37442.64356,54931.468747,54367.149179,121140.245122,183113.990222,100264.397211,"O15067","O15067"
216093.6679529,341690.29407,310679.172836,554020.040028,950705.820463,621357.493708,"O15143","O15143"
68746.5883711,113608.1459982,108812.6832708,148804.910044,236436.184549,152304.5383696,"O15228","O15228"
19357.366211,28010.686528,24675.432622,38447.210942,52134.080566,32730.925292,"O15270","O15270"
114534.992928,192723.347152,179432.6748,291790.933574,493691.2842,391003.201182,"O15355","O15355"
61928.243657,106518.621088,86956.916498,126309.786634,201276.496098,134711.749518,"O15371","O15371"
27446.777342,42669.886484,35123.218745,69858.95753,107127.747806,80024.577141,"O15372","O15372"
568392.5338126,948896.7293169,721668.329718,1133779.8901599,1949984.120803,1188642.1455128,"O43143","O43143"
61703.014648,93587.70116,80558.525396,97974.668948,191365.10939,113245.24902,"O43148","O43148"
6375.8876818,7432.8182907,9453.1196274,8560.1373543,13037.4254767,10900.4547525,"O43156","O43156"
63965.89258,104241.49756,81127.492678,147949.409182,245734.227546,149047.036132,"O43159","O43159"
235943.6324263,420978.6243572,324367.4553835,523798.8839726,950670.2596518,601985.4979562,"O43175","O43175"
108654.215222,172342.376953,140085.342295,190529.641615,294371.699223,195124.625967,"O43242","O43242"
9410.73124,17747.32884,14403.71228,21833.836915,38647.548822,24548.079102,"O43252","O43252"
34697.3584747,59983.435113,47780.27722,70744.0261204,122085.4352,79100.2818032,"O43264","O43264"
888667.795874,1502143.339389,1135399.514772,1067437.817025,2203131.537114,1243798.37559,"O43390","O43390"
115675.274426,187848.01564,140717.55468,249369.8203,472720.3203,266041.2422,"O43396","O43396"
22560.791016,40185.547362,32628.245356,35166.3435,67267.37548,40930.060068,"O43402","O43402"
31870.943236,55801.52223,42661.646245,58394.856197,106419.555188,62421.097899,"O43447","O43447"
52455.243654,69547.24317,61826.180176,76435.863778,124031.83886,85014.853518,"O43663","O43663"
16788.661946,22415.982422,21577.167968,61830.56835,111492.83398,62133.280284,"O43670","O43670"
88107.809575,161341.86914,124697.38673,126317.79004,281343.67578,152742.24413,"O43681","O43681"
90071.364987,141827.437514,117000.330073,213768.839845,329096.432052,223488.228031,"O43684","O43684"
64027.823981,100198.123054,89520.55127,166299.585446,248738.945314,162636.10499,"O43707","O43707"
57814.497564,87092.32519,69108.216794,103939.91603,186578.08789,123049.994146,"O43747","O43747"
93394.3723484,139927.6736544,133168.767865,194911.5359695,342128.4981868,244862.3163355,"O43776","O43776"
106328.494389,193288.347908,137307.785776,133183.940191,268375.438253,168817.408813,"O43795","O43795"
74405.23926,135908.052784,116327.493126,239039.625,373705.20118,248823.052784,"O43813","O43813"
25041.7615968,36731.1320782,31769.649046,55790.009028,69839.999032,50694.477668,"O43818","O43818"
151400.2064254,229043.4358058,179874.4367176,223080.7849514,407596.3004396,248020.606787,"O43837","O43837"
22425.752685,42456.472663,33008.569824,44823.522944,80919.28809,53440.499996,"O60231","O60231"
35820.019538,47489.212882,36066.638668,57512.146482,112201.78126,64567.640628,"O60234","O60234"
537754.949687,878288.466168,744788.104433,738181.577337,1361379.900996,800273.879627,"O60264","O60264"
31192.677245,45978.065306,35234.63684,46032.1087716,78766.518308,50880.5217148,"O60287","O60287"
69007.849614,113061.764906,94344.19678,99631.112542,192466.91604,117835.743166,"O60306","O60306"
109312.81642,194474.81155,150919.607422,163160.241218,309403.6465,187184.880862,"O60313","O60313"
27307.825688,46675.853516,44467.51856,36181.244632,77975.668956,44850.33984,"O60341","O60341"
28942.2216984,65677.9863885,48862.222291,54098.0716319,94982.603166,59539.5252143,"O60488","O60488"
251026.0689045,403418.427056,326305.7822717,412941.4100241,664852.493891,430567.745312,"O60506","O60506"
28763.195802,55968.529296,46747.92968,73479.25977,141965.39453,85844.05078,"O60547","O60547"
152506.645259,264108.202147,203998.312248,301980.405763,590408.439965,355947.31886,"O60610","O60610"
11378.3423593,10751.244262,10212.87146,44172.4148,60016.727538,38528.987795,"O60675","O60675"
306936.879387,470181.144537,385833.602529,458006.724857,858091.152379,486333.654288,"O60832","O60832"
34145.808593,52325.249022,50993.875982,86648.532236,158021.51757,109347.33692,"O60841","O60841"
65761.157226,106783.048834,90577.693348,126489.996094,213632.1094,127403.670902,"O60884","O60884"
497649.0750889,932406.7546014,754438.4283881,1427199.7850179,2528593.996283,1559932.3296595,"O75083","O75083"
63762.689942,89194.782228,77755.302734,117780.037108,234199.74412,128605.819328,"O75131","O75131"
38181.4292,58339.23878,46873.711671,67449.821279,122183.220709,78804.523922,"O75152","O75152"
76301.1407334,126612.443111,100800.1708961,116343.520938,215180.7103254,137857.9361261,"O75165","O75165"
55157.607914,90455.213856,75541.94579,222261.987302,333897.33396,229318.8418,"O75179","O75179"
513271.0896,951520.380416,743686.334592,791142.141206,1366241.252042,845759.809106,"O75367","O75367"
262834.957271,405670.101332,368385.796879,630343.036078,1110796.44433,686656.878428,"O75369","O75369"
36806.394043,41047.69043,42042.179199,132416.02736,209169.31249,129695.65234,"O75376","O75376"
533786.189462,1041067.239856,837003.2699,774398.224208,1489330.626114,896561.191402,"O75390","O75390"
103715.9968155,138323.2687856,163130.6242118,234036.1492156,352259.0989478,237006.685805,"O75396","O75396"
197729.562735,394859.170414,298563.225084,406537.847168,738114.549814,419147.708994,"O75400","O75400"
4268.254516,10045.280274,6902.395997,6601.524169,11374.121583,8334.64917,"O75431","O75431"
43709.63862,66380.6781054,58760.681644,81855.7838036,136133.939222,88925.989994,"O75439","O75439"
119989.568354,194850.36327,162781.33984,188921.06835,303586.98437,200068.50584,"O75475","O75475"
49173.375487,73002.168823,59790.9854112,59369.6992787,103542.592415,67396.3693213,"O75489","O75489"
457419.69093,649174.76075,613018.215848,835196.803344,1345360.406236,837389.329726,"O75533","O75533"
167807.3547311,293798.714229,239329.120848,368903.0203878,702754.554937,410842.266367,"O75534","O75534"
735476.165628,1204767.8324305,910592.5559595,1203988.0877733,2148004.8621901,1265468.3770001,"O75643","O75643"
119904.7571229,196513.370047,167116.4875595,203224.6012121,331328.615379,234059.7404055,"O75691","O75691"
397988.5787451,616596.3875057,520036.8408313,799842.2241026,1424901.152905,872611.2221177,"O75694","O75694"
30102.801269,51986.252931,45242.222164,69955.940424,99311.0918,71580.14941,"O75717","O75717"
23320.66992,40535.73438,28976.52344,31020.49218,60235.1289,36351.73828,"O75746","O75746"
61889.27686,124734.49415,94619.840804,96291.393558,185360.740232,106302.027344,"O75844","O75844"
33529.4469,50908.561768,46016.784905,92294.185074,149633.765144,107816.093739,"O75874","O75874"
162823.394523,257100.575702,210896.910651,284500.912114,470771.93555,333605.40331,"O75947","O75947"
26902.3155003,44551.378049,31285.601804,67712.138685,104720.684574,68888.042487,"O75976","O75976"
655599.040056,1103013.882808,870521.64454,1105695.866682,1899192.610446,1151147.659204,"O76021","O76021"
18274.0535896,30312.6852404,30078.4658577,38679.474256,67607.48998,39127.044914,"O76094","O76094"
142614.2898515,238692.0251268,177543.2080111,333489.073739,487140.138083,349678.43822,"O94776","O94776"
264518.6171894,440029.10039,371199.4252948,433952.2935436,766204.38951,482734.3239376,"O94826","O94826"
296454.4015478,470958.4655375,416095.2808563,558571.450269,927267.857255,577728.854923,"O94906","O94906"
64811.399904,88249.442388,76659.262202,196610.32618,312188.53518,191057.63477,"O94979","O94979"
3433.449218,6141.344726,6034.441406,15145.14746,17201.521484,15258.655274,"O95104","O95104"
154678.5620377,264647.1409549,208717.401625,181036.5677649,351678.986377,217356.3369658,"O95202","O95202"
29594.714352,48321.069824,37224.022463,58174.04981,114993.7793,65454.88085,"O95239","O95239"
62097.341782,91950.80274,81911.597658,66477.92381,114116.77734,73101.98828,"O95299","O95299"
23549.779292,42181.955084,41466.674074,61786.665522,97610.515144,55209.198728,"O95319","O95319"
43898.576662,64983.668946,62318.599606,112435.616208,168715.570316,121451.813472,"O95336","O95336"
253662.1023166,472833.0705043,351373.1587625,494293.3293096,990509.642004,541654.259637,"O95347","O95347"
7974.64966,15667.01416,10732.003906,18033.281738,26785.121094,16552.833008,"O95373","O95373"
110596.635749,175311.933333,155183.841076,266978.129403,464685.759762,291972.366702,"O95433","O95433"
75993.96143,117044.26904,111482.791986,109835.76367,212730.298786,116218.327144,"O95466","O95466"
33976.090331,49787.498179,40729.319096,78795.285181,118205.348154,83690.724488,"O95573","O95573"
81649.046875,146877.898426,117555.343769,217260.741205,355033.40916,212178.450695,"O95696","O95696"
64408.044425,109292.92088,71618.505859,80323.226552,151429.0703,92657.256832,"O95747","O95747"
59518.249022,91964.193848,87445.203119,115962.01221,138278.663574,111821.955814,"O95831","O95831"
14660.0375447,24725.0720122,15595.8557887,21189.3487785,32128.8462618,31702.4704463,"O96000","O96000"
23166.180787,33574.705325,37944.531005,36826.249878,68306.503901,44539.1167,"O96005","O96005"
67711.722656,89945.339832,78034.33106,108974.125986,167379.90432,106571.99414,"O96011","O96011"
60809.33204,80942.58594,72077.22656,75422.57812,156385,133469.29688,"O96019","O96019"
40315.812012,73137.635734,54729.025878,61107.722176,121304.404286,73661.790034,"O96028","O96028"
814493.0615865,1116946.0406639,1034452.5804432,1523578.0806995,2989427.42485,1807593.422005,"P00338","P00338"
18502.673828,38479.22266,26085.3379,21639.63672,47110.55078,26079.26758,"P00367","P00367"
100926.380376,156798.89549,136570.903306,124780.423844,224042.898444,124998.034188,"P00387","P00387"
88942.870598,138497.117678,125470.302996,271026.966316,412006.324222,274041.018052,"P00390","P00390"
1386593.757492,2425231.034958,1923416.642192,1911127.173926,3412075.6288,2190181.990534,"P00505","P00505"
1288401.1929178,2138044.318437,1930246.321818,3683235.939465,6993160.314182,3938225.6463805,"P00558","P00558"
216806.459724,387791.845224,304867.817396,617696.176808,1095487.23147,670862.003834,"P00813","P00813"
296718.552002,523366.5755312,417538.6782772,680986.735884,1097180.928524,623908.724883,"P02786","P02786"
402280.604726,673884.319334,571013.485119,1268496.365388,2109676.456104,1441190.806712,"P04075","P04075"
30538.492676,47333.597656,40125.827148,63181.829104,129613.26562,85479.049818,"P04083","P04083"
25811.016112,43808.320068,41069.338126,77996.594234,104198.846684,93245.51122,"P04234","P04234"
1764524.7592847,2958162.7440298,2330051.7856544,4643109.447353,8037992.084202,5052276.1917116,"P04406","P04406"
66557.682622,84907.229502,84557.842792,95424.878922,180381.06054,125521.600594,"P04439","P04439"
27704.6578375,46242.029297,35141.695552,53401.219233,94585.172869,62151.046379,"P04818","P04818"
1121688.468737,1745902.8018658,1467714.691054,2246215.602868,3806510.36567,2337768.340464,"P04843","P04843"
116660.0676655,221940.2639152,159264.0611522,187574.512702,408502.496879,210307.0477288,"P04899","P04899"
260990.8524978,432410.386494,412670.7779588,466050.1702404,815025.72536,606652.79473,"P05023","P05023"
193890.897054,359826.398436,278585.141602,401759.401373,702939.029327,430539.707049,"P05107","P05107"
1047496.777354,1597484.22755,1178262.65342,836664.278422,1805308.140674,1059629.30174,"P05141","P05141"
113323.596688,185172.775392,205150.601578,317244.19924,522789.5859,332650.67581,"P05161","P05161"
477527.5091071,787598.5851221,732933.0682054,1121179.6963545,1798040.870854,1089756.6740743,"P05165","P05165"
132279.665514,196000.031258,155248.889652,215124.858398,389510.330074,226151.2373,"P05198","P05198"
26641.65918,42158.547854,31508.74218,29590.655272,43352.759766,23886.946778,"P05204","P05204"
33659.199714,56425.858147,40673.740729,52573.393064,90555.352537,48388.058601,"P05388","P05388"
62057.2587454,98076.0121978,99078.185777,146832.2858494,209818.9811384,150272.6875629,"P05455","P05455"
117843.3894078,215972.7227256,183444.5737968,255822.240474,455712.024646,287073.676026,"P05556","P05556"
50331.580818,66061.670406,61028.315922,105964.636712,175567.062506,113477.684096,"P05771","P05771"
168015.6908294,315598.150153,258676.2969335,463164.164824,805474.188808,501908.461873,"P06127","P06127"
83553.2404097,138620.0304931,110857.7484966,167370.6894465,246952.7863443,182660.3150478,"P06239","P06239"
1098966.569353,1832458.840085,1488852.889274,1855216.915479,3673204.932152,2181369.723984,"P06400","P06400"
377009.2586092,691507.938592,516552.3035857,477289.081272,935644.744352,564520.450506,"P06576","P06576"
122776.765633,195743.583995,180490.514641,203978.357444,315557.085948,220670.844732,"P06729","P06729"
1082033.3012206,1863283.1134955,1381869.7588131,2607235.2218637,4935400.82651,2949728.75026,"P06733","P06733"
218147.1563627,354057.190072,300235.600849,539842.962021,971411.133026,636388.2652514,"P06744","P06744"
1140176.4757564,1803354.319416,1539020.6345661,1864963.104511,2960065.976771,1949679.675222,"P06748","P06748"
60824.691401,103173.98902,88632.765624,185463.330311,340738.958485,222451.344714,"P06753","P06753"
22953.657226,42887.70704,31930.47071,41342.229496,77215.88086,39049.504874,"P06865","P06865"
966253.784236,1570633.698914,1341403.711172,2641156.317536,4671307.802932,2760861.229142,"P07195","P07195"
35235.075443,50533.493411,51544.529295,102814.098631,139152.677741,105805.604496,"P07199","P07199"
1295128.181628,2161858.113332,1772079.946326,1918067.031722,3342769.366232,2051034.764891,"P07237","P07237"
17800.7236262,33946.8631006,29222.0341189,46038.543828,85072.751952,53548.9797232,"P07339","P07339"
9433.921876,12817.673828,12382.140626,21591.33008,35535.20312,25005.57812,"P07355","P07355"
250883.6494853,452237.0156709,331262.6879879,650486.1333,1102692.967628,656581.257758,"P07384","P07384"
98090.4445741,174335.769671,123017.646035,182636.641475,341071.73754,184661.108401,"P07437","P07437"
134092.4331536,211227.5781799,187781.8385226,198992.0304074,372902.501104,219057.3730811,"P07686","P07686"
927777.6950204,1311119.31061,1197844.7955215,2412521.286706,4418212.1984667,2429109.0796077,"P07737","P07737"
59789.5540068,90129.1916796,82641.1278722,113180.0274146,198572.3772232,144134.505137,"P07741","P07741"
589489.4107433,1034734.4156122,862016.9362448,1379286.40495,2519374.344975,1479133.6212019,"P07814","P07814"
476753.324934,830622.854236,567838.025149,954971.838394,1694634.602122,1033184.073295,"P07900","P07900"
896711.765135,615976.666497,565606.475653,455598.642076,798737.382424,524051.609861,"P07910","P07910"
221559.318354,330691.99615,260859.289058,280460.39454,507106.38765,323240.588912,"P07954","P07954"
41744.6548522,43744.700564,45730.4233422,168153.882684,298332.4507,174758.716083,"P08047","P08047"
641936.424526,1093395.866108,841756.0659086,1185399.616066,2147889.410666,1411428.140908,"P08133","P08133"
735692.8554942,1238874.72393,923836.786379,1300692.804804,2305287.868362,1232103.669377,"P08195","P08195"
498321.971684,846959.619486,617422.10814,1120157.995659,1827253.73482,1173979.394658,"P08238","P08238"
32693.323242,57138.183594,44490.53711,72298.683594,131598.53516,81411.76954,"P08243","P08243"
37443.51563,55223.0879,48468.89062,76063.50976,121429.91796,101732.22852,"P08559","P08559"
137569.7466583,192668.8007676,213582.2097773,198202.3897974,305433.3685427,200125.9696553,"P08574","P08574"
1382161.3903163,2094382.3761231,1793050.0854928,3096273.0547141,4709303.6487352,2776736.0157517,"P08575","P08575"
90196.250492,163534.889654,147463.753912,220440.499986,297189.73044,208035.032225,"P08621","P08621"
33087.8829338,51582.393187,50317.5554108,54227.850838,104031.752438,69458.013654,"P08708","P08708"
224581.439454,411811.667962,330159.574212,497579.613268,863526.28316,571043.227602,"P08865","P08865"
74419.6659287,133564.5339242,107720.3549929,192684.8276515,375835.4530732,220016.1965293,"P09211","P09211"
34413.808596,38462.61622,28253.650394,43396.25586,65206.63378,35719.87989,"P09326","P09326"
102996.3053186,152721.7696794,89143.9562087,174651.0683944,375681.844274,222953.60133,"P09429","P09429"
66006.433114,113503.99415,95979.161628,101187.740236,188147.859388,120482.730474,"P09543","P09543"
209271.662124,335905.301756,281584.508794,309168.305672,546582.7989,358864.473636,"P09622","P09622"
942790.5091476,1722460.2448886,1173600.7428091,943411.7033623,1786273.6089715,1060425.7697736,"P09651","P09651"
727995.4013308,1162356.0543391,1036480.8127198,1210139.722253,2162950.1952524,1317918.6309644,"P09874","P09874"
26964.56543,56645.693354,40246.070312,56513.84764,111115.41798,59898.2422,"P09960","P09960"
40346.169924,66311.067374,60145.298844,100735.728506,156156.80664,116248.917968,"P10155","P10155"
147196.360349,151694.248296,171603.935785,283390.166503,286938.085458,225267.920425,"P10412","P10412"
187011.102305,327484.566891,272910.846182,281429.44458,479539.153264,290896.479975,"P10515","P10515"
54942.728394,89565.522217,96568.583248,143370.174798,213123.316907,141843.560057,"P10599","P10599"
90612.784188,141585.159176,125872.83985,150158.152336,301281.10156,171148.802744,"P10606","P10606"
26713.166018,48194.84083,37911.738276,41618.305662,79386.96876,67975.51269,"P10644","P10644"
241131.891602,466620.970768,349336.938432,719572.636752,1367393.96876,760030.513794,"P10768","P10768"
5605459.0523056,9817830.675107,8327569.7306486,6681198.4658538,11050548.9096937,7633818.7026178,"P10809","P10809"
925390.394844,1592781.8956272,1412686.2705246,1225225.1501075,1967931.250844,1266067.7681624,"P11021","P11021"
344706.0151951,625428.11268,517500.604635,713809.734267,1305580.213142,852534.8472033,"P11142","P11142"
84427.0996,139432.09376,118520.34374,120887.21484,199841.5586,125119.1211,"P11166","P11166"
55844.18555,90078.567388,80901.054688,127076.621098,187188.56445,131142.685064,"P11216","P11216"
78540.640141,123983.678707,106507.357927,231999.416022,319629.790026,223123.849602,"P11279","P11279"
285195.331359,485627.4513023,401213.0221712,484526.7335335,872626.3078477,527321.6586568,"P11310","P11310"
630569.994591,959108.399884,853190.363818,974297.134293,1613773.338064,1057911.144084,"P11387","P11387"
997792.469127,1525685.49438,1392435.680128,1395665.628105,2374908.491484,1534983.482448,"P11388","P11388"
305232.377438,537738.85022,393729.57714,790850.130888,1510623.209094,811984.086924,"P11413","P11413"
1135656.5275873,2068074.972777,1701323.408511,2661623.311356,4590954.690474,2800091.63928,"P11498","P11498"
427759.2952308,761374.9710779,588656.8931538,908444.5230136,1656271.530659,991229.375174,"P11586","P11586"
840960.7644651,1482986.0917506,1218571.0614232,1907131.9508984,3353933.488962,1962992.3724965,"P11717","P11717"
509231.160244,852464.079156,683006.698046,1215475.92102,2117751.304664,1256349.980544,"P11766","P11766"
28918.96289,49482.419928,30917.840332,43259.71387,91819.74804,54098.75488,"P11940","P11940"
328727.60304,538254.030878,506793.72877,785968.191464,1481106.164102,974801.652948,"P12004","P12004"
60751.704098,105943.78516,76870.166988,60406.097652,118801.17579,77143.158198,"P12235","P12235"
616956.742766,1055089.986528,825389.602722,981403.860116,1858294.87365,1004427.412496,"P12268","P12268"
28424.9870594,51407.3629168,38926.796418,72865.495842,118438.05273,75532.073484,"P12270","P12270"
67697.17383,123507.91894,91322.945316,119869.259762,222040.96288,145170.086902,"P12544","P12544"
183012.262205,242108.195796,194537.601554,314514.417982,574843.480444,358343.688468,"P12814","P12814"
33982.613283,58996.397464,48436.192384,91541.98632,159250.22265,99048.52734,"P12955","P12955"
866552.247061,1358014.142605,999089.0082,1330429.140923,2596901.126003,1506198.879591,"P12956","P12956"
852826.0033066,1325801.0846346,1070997.331745,1567268.957581,2548981.483412,1690943.1882304,"P13010","P13010"
27061.841798,39321.51172,35928.637694,73303.63184,106264.800786,56067.750004,"P13473","P13473"
62241.146716,92041.849862,74862.231196,137448.094742,247048.92188,153608.620128,"P13489","P13489"
283607.812511,476662.730492,376445.169909,570971.037116,947389.12307,608043.000014,"P13612","P13612"
1110406.4698512,1897140.3911433,1533240.0629891,2408269.765682,4069878.0836384,2633261.232674,"P13639","P13639"
226226.0229008,345169.544203,296278.485107,383566.029317,576972.367271,387472.123167,"P13667","P13667"
490209.8656652,774012.1382077,665067.8671675,1157726.8507556,2306683.1843576,1373606.7567647,"P13796","P13796"
146326.699717,197852.166502,190344.410159,296100.015153,434380.32031,306953.476098,"P13804","P13804"
208175.7435932,359897.315857,302904.1186702,427243.6950151,678235.722726,367540.860469,"P14314","P14314"
6730.7389761,12308.2274162,9392.1630473,16539.1251762,29466.489753,17024.6856688,"P14550","P14550"
1208465.0702614,1985427.2001124,1588304.7827017,3632432.6574029,6117824.4629495,3674745.8605239,"P14618","P14618"
