P23284,PPIB
P62136,PPP1CA
P31040,SDHA
O14787,TNPO2
O60610,DIAPH1
P61927,RPL37
P80297,MT1X
Q9Y6W5,WASF2
O43847,NRDC
Q9Y285,FARSA
Q6PD62,CTR9
P61224,RAP1B
Q9BPX3,NCAPG
P02786,TFRC
Q66PJ3,ARL6IP4
Q9NTZ6,RBM12
P02452,COL1A1
P62495,ETF1
P07339,CTSD
O76071,CIAO1
P21281,ATP6V1B2
Q04637,EIF4G1
P53621,COPA
P82970,HMGN5
P38919,EIF4A3
P62328,TMSB4X
P06748,NPM1
Q8IYB3,SRRM1
P05204,HMGN2
Q9H446,RWDD1
P62805,H4-16
P62805,H4C1
P62805,H4C11
P62805,H4C12
P62805,H4C13
P62805,H4C14
P62805,H4C15
P62805,H4C2
P62805,H4C3
P62805,H4C4
P62805,H4C5
P62805,H4C6
P62805,H4C8
P62805,H4C9
Q16630,CPSF6
Q9Y6E2,BZW2
Q9NR45,NANS
P52597,HNRNPF
Q9Y678,COPG1
Q14683,SMC1A
P29144,TPP2
Q16666,IFI16
P08575,PTPRC
Q15021,NCAPD2
P22626,HNRNPA2B1
Q13011,ECH1
P83881,RPL36A
Q8N8S7,ENAH
Q12905,ILF2
P43403,ZAP70
Q969Q0,RPL36AL
Q15428,SF3A2
Q10713,PMPCA
Q15365,PCBP1
P16403,H1-2
Q9Y237,PIN4
P34897,SHMT2
Q16695,H3-4
Q7L7L0,H2AW
P63151,PPP2R2A
P07237,P4HB
Q13813,SPTAN1
P18206,VCL
P13667,PDIA4
Q07020,RPL18
P07910,HNRNPC
P30101,PDIA3
Q96ER3,SAAL1
P24752,ACAT1
P06576,ATP5F1B
Q9Y547,HSPB11
P07954,FH
Q8N543,OGFOD1
Q9Y230,RUVBL2
O95831,AIFM1
P68104,EEF1A1
P61956,SUMO2
O43175,PHGDH
P40306,PSMB10
P48735,IDH2
Q9UMS4,PRPF19
O95777,LSM8
P20042,EIF2S2
P04818,TYMS
P09960,LTA4H
P19338,NCL
P62633,CNBP
P16104,H2AX
Q9NWB6,ARGLU1
P33992,MCM5
P62241,RPS8
P11388,TOP2A
P56192,MARS1
P25787,PSMA2
P16402,H1-3
P06239,LCK
P54577,YARS1
Q12906,ILF3
Q01081,U2AF1
Q9UJW0,DCTN4
O00303,EIF3F
P55072,VCP
O14818,PSMA7
P10809,HSPD1
P49327,FASN
Q9BRF8,CPPED1
P62266,RPS23
Q15057,ACAP2
P39023,RPL3
Q9GZL7,WDR12
P25685,DNAJB1
Q14103,HNRNPD
Q9UHD1,CHORDC1
O75436,VPS26A
Q14204,DYNC1H1
O15144,ARPC2
P00558,PGK1
P62158,CALM1
P62158,CALM2
P62158,CALM3
P30040,ERP29
O75369,FLNB
O00193,SMAP
O43598,DNPH1
P11021,HSPA5
Q9BQE3,TUBA1C
P00747,PLG
Q9Y2B0,CNPY2
P00505,GOT2
P49792,RANBP2
Q9P2J5,LARS1
Q15631,TSN
P29401,TKT
P31350,RRM2
P49006,MARCKSL1
O60506,SYNCRIP
P50993,ATP1A2
P12814,ACTN1
P25786,PSMA1
P14550,AKR1A1
O00487,PSMD14
Q96F07,CYFIP2
P08708,RPS17
Q02878,RPL6
O60880,SH2D1A
P13010,XRCC5
P30044,PRDX5
P30041,PRDX6
O60841,EIF5B
P15153,RAC2
Q13630,GFUS
Q9UQE7,SMC3
Q13435,SF3B2
Q96CT7,CCDC124
P14625,HSP90B1
P46782,RPS5
A0AVT1,UBA6
P11142,HSPA8
P43487,RANBP1
O15143,ARPC1B
P46087,NOP2
Q8IUI8,CRLF3
Q32MZ4,LRRFIP1
P62316,SNRPD2
Q16643,DBN1
P41091,EIF2S3
Q9BXJ9,NAA15
Q13283,G3BP1
P04040,CAT
Q01433,AMPD2
Q16531,DDB1
Q99832,CCT7
Q9Y617,PSAT1
P18621,RPL17
O75643,SNRNP200
P50570,DNM2
P06733,ENO1
P27797,CALR
P38646,HSPA9
P51665,PSMD7
P20290,BTF3
Q7Z4V5,HDGFL2
Q6P2Q9,PRPF8
P60953,CDC42
Q96RS6,NUDCD1
Q05086,UBE3A
P54578,USP14
Q02543,RPL18A
P15531,NME1
Q92973,TNPO1
Q9BWD1,ACAT2
P62750,RPL23A
P35241,RDX
P23528,CFL1
P60842,EIF4A1
P17174,GOT1
P46779,RPL28
P61586,RHOA
P53618,COPB1
Q92854,SEMA4D
P42677,RPS27
P49736,MCM2
O00299,CLIC1
P09211,GSTP1
P09874,PARP1
Q9BTC8,MTA3
P05114,HMGN1
P09104,ENO2
P40429,RPL13A
Q04446,GBE1
O14980,XPO1
P47813,EIF1AX
Q8WXX5,DNAJC9
