P36578,RPL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04075,ALDOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11216,PYGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NPJ3,ACOT13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00558,PGK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13489,RNH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13813,SPTAN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49189,ALDH9A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08670,VIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49368,CCT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07812,BAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15371,EIF3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y315,DERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78527,PRKDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16836,HADH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51812,RPS6KA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06733,ENO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00491,PNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33316,DUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UQE7,SMC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50990,CCT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WXF1,PSPC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15233,NONO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61204,ARF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02769,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92945,KHSRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16543,CDC37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75369,FLNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZUJ8,PIK3AP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07384,CAPN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y490,TLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96T88,UHRF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13867,BLMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15160,POLR1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13126,MTAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H4L4,SENP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36776,LONP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08238,HSP90AB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07900,HSP90AA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
