Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,331.19835,7.862,0.08,3,1,9945772.327,F45,NOT,"331.19835,7.862",TRUE,331.19835,7.862,0.076,3,1,8662189.229,F13,BTZ,"331.19835,7.862",0.870941838
TRUE,310.15907,7.864,0.091,2,1,9731369.855,F44,NOT,"310.15907,7.864",TRUE,310.15907,7.864,0.068,3,1,12030179.94,F13,BTZ,"310.15907,7.864",1.236226772
TRUE,286.15978,7.869,0.085,2,1,7960314.681,F37,NOT,"286.15978,7.869",TRUE,286.15978,7.869,0.077,2,1,7098095.176,F4,BTZ,"286.15978,7.869",0.891685249
TRUE,224.12276,7.871,0.087,3,1,13152334.86,F42,NOT,"224.12276,7.871",TRUE,224.12276,7.871,0.055,2,1,17946447.26,F12,BTZ,"224.12276,7.871",1.364506565
TRUE,216.11791,7.893,0.103,3,1,48558966.8,F36,NOT,"216.11791,7.893",TRUE,216.11791,7.893,0.113,3,1,59805279.65,F6,BTZ,"216.11791,7.893",1.231601156
TRUE,348.21163,7.915,0.097,4,1,84674680.43,F35,NOT,"348.21163,7.915",TRUE,348.21163,7.915,0.094,4,1,78844935.3,F5,BTZ,"348.21163,7.915",0.931151259
TRUE,266.18776,7.919,0.14,2,1,37171864.57,F40,NOT,"266.18776,7.919",TRUE,266.18776,7.919,0.148,2,1,47632288.72,F6,BTZ,"266.18776,7.919",1.281407034
TRUE,230.13347,7.923,0.107,3,1,66986625.15,F38,NOT,"230.13347,7.923",TRUE,230.13347,7.923,0.105,2,1,59416820.99,F4,BTZ,"230.13347,7.923",0.88699529
TRUE,254.16954,7.949,0.131,3,1,114105017.1,F42,NOT,"254.16954,7.949",TRUE,254.16954,7.949,0.136,3,2,165991378.8,F12,BTZ,"254.16954,7.949",1.45472463
TRUE,260.18101,7.96,0.083,4,1,266190393,F36,NOT,"260.18101,7.96",TRUE,260.18101,7.96,0.068,3,1,214494447.6,F6,BTZ,"260.18101,7.96",0.805793347
TRUE,196.18236,8,0.08,3,2,55661929,F37,NOT,"196.18236,8",TRUE,196.18236,8,0.072,2,2,43703580.02,F4,BTZ,"196.18236,8",0.785161075
TRUE,240.19046,8.037,0.092,2,1,133757460.9,F35,NOT,"240.19046,8.037",TRUE,240.19046,8.037,0.079,2,1,101445412,F8,BTZ,"240.19046,8.037",0.758428063
TRUE,240.20831,8.043,0.183,2,1,37742060.27,F42,NOT,"240.20831,8.043",TRUE,240.20831,8.043,0.148,2,1,24376670.39,F8,BTZ,"240.20831,8.043",0.645875456
TRUE,294.18678,8.071,0.076,2,1,40418996,F35,NOT,"294.18678,8.071",TRUE,294.18678,8.071,0.076,3,1,41767519.12,F8,BTZ,"294.18678,8.071",1.033363598
