Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Enrichment
TRUE,156.0969,7.865,0.062,2,1,68865609.43,F38,NOT,"156.0969,7.865",TRUE,156.0969,7.865,0.057,2,1,47551086.07,F25,LEN,"156.0969,7.865",0.690491037
TRUE,242.152,7.87,0.056,3,2,39433993.27,F37,NOT,"242.152,7.87",TRUE,242.152,7.87,0.099,4,2,64316937.05,F27,LEN,"242.152,7.87",1.631002384
TRUE,186.10736,7.871,0.067,2,2,41745618.47,F38,NOT,"186.10736,7.871",TRUE,186.10736,7.871,0.066,3,1,34595583.44,F25,LEN,"186.10736,7.871",0.828723701
TRUE,419.26967,7.904,0.114,3,1,73200723.4,F36,NOT,"419.26967,7.904",TRUE,419.26967,7.904,0.112,3,1,68625601.15,F25,LEN,"419.26967,7.904",0.937498948
TRUE,374.21297,7.906,0.085,3,1,15071224.79,F42,NOT,"374.21297,7.906",TRUE,374.21297,7.906,0.077,4,1,19649930.81,F28,LEN,"374.21297,7.906",1.303804507
TRUE,197.17753,7.913,0.085,2,2,31051039.13,F44,NOT,"197.17753,7.913",TRUE,197.17753,7.913,0.086,2,2,30124779.36,F30,LEN,"197.17753,7.913",0.970169766
TRUE,294.2191,7.922,0.187,2,1,151029158.2,F36,NOT,"294.2191,7.922",TRUE,294.2191,7.922,0.178,2,1,140876808.8,F27,LEN,"294.2191,7.922",0.932778878
TRUE,360.2337,7.924,0.135,5,3,69272103.85,F36,NOT,"360.2337,7.924",TRUE,360.2337,7.924,0.127,4,2,48725835.13,F25,LEN,"360.2337,7.924",0.703397651
TRUE,372.2336,7.94,0.103,2,1,14919755.99,F42,NOT,"372.2336,7.94",TRUE,372.2336,7.94,0.107,2,2,39841325.12,F29,LEN,"372.2336,7.94",2.670373775
TRUE,242.1695,7.962,0.106,3,1,82100741.02,F45,NOT,"242.1695,7.962",TRUE,242.1695,7.962,0.101,4,1,87112368.97,F32,LEN,"242.1695,7.962",1.06104242
TRUE,157.14635,7.977,0.051,2,1,32426538.39,F45,NOT,"157.14635,7.977",TRUE,157.14635,7.977,0.056,2,1,35451985.44,F34,LEN,"157.14635,7.977",1.093301573
TRUE,258.16472,7.984,0.124,3,1,91275510.39,F37,NOT,"258.16472,7.984",TRUE,258.16472,7.984,0.115,3,1,68316804.5,F29,LEN,"258.16472,7.984",0.748468063
TRUE,370.25286,7.99,0.115,4,4,1578763184,F45,NOT,"370.25286,7.99",TRUE,370.25286,7.99,0.116,4,5,1509284825,F32,LEN,"370.25286,7.99",0.955991906
TRUE,140.08345,7.996,0.049,2,1,31927500.89,F45,NOT,"140.08345,7.996",TRUE,140.08345,7.996,0.046,2,1,29099193.11,F30,LEN,"140.08345,7.996",0.911414683
TRUE,194.09384,8.01,0.052,2,1,140806292.3,F45,NOT,"194.09384,8.01",TRUE,194.09384,8.01,0.052,2,2,176235830.1,F34,LEN,"194.09384,8.01",1.251618995
TRUE,166.0627,8.01,0.048,2,2,116556676.6,F44,NOT,"166.0627,8.01",TRUE,166.0627,8.01,0.05,2,2,139762364.3,F33,LEN,"166.0627,8.01",1.199093594
TRUE,331.27168,8.01,0.191,2,1,86637472.75,F37,NOT,"331.27168,8.01",TRUE,331.27168,8.01,0.18,2,1,72318186.91,F27,LEN,"331.27168,8.01",0.834721797
TRUE,240.19049,8.035,0.095,3,1,175476939.3,F39,NOT,"240.19049,8.035",TRUE,240.19049,8.035,0.097,2,1,161441406.5,F25,LEN,"240.19049,8.035",0.920014944
TRUE,346.25416,8.041,0.103,2,1,26790507.4,F37,NOT,"346.25416,8.041",TRUE,346.25416,8.041,0.086,4,1,84073433.95,F27,LEN,"346.25416,8.041",3.138179979
TRUE,307.23259,8.054,0.099,2,1,43698828.15,F38,NOT,"307.23259,8.054",TRUE,307.23259,8.054,0.104,2,1,49995469.28,F25,LEN,"307.23259,8.054",1.144091762
TRUE,307.23265,8.055,0.102,3,1,52424764.87,F37,NOT,"307.23265,8.055",TRUE,307.23265,8.055,0.106,3,1,46535428.99,F27,LEN,"307.23265,8.055",0.887661187
TRUE,310.23216,8.063,0.151,3,1,179595155.8,F35,NOT,"310.23216,8.063",TRUE,310.23216,8.063,0.164,2,1,169807694.3,F29,LEN,"310.23216,8.063",0.945502642
TRUE,312.17631,8.068,0.092,4,1,2111273185,F40,NOT,"312.17631,8.068",TRUE,312.17631,8.068,0.09,4,1,1937660621,F28,LEN,"312.17631,8.068",0.917768783
TRUE,312.17613,8.069,0.097,4,1,453988832.5,F43,NOT,"312.17613,8.069",TRUE,312.17613,8.069,0.093,3,1,1962343365,F30,LEN,"312.17613,8.069",4.322448537
TRUE,322.26824,8.091,0.123,3,1,389741416.6,F45,NOT,"322.26824,8.091",TRUE,322.26824,8.091,0.128,2,1,402804364.5,F34,LEN,"322.26824,8.091",1.033516961
TRUE,358.28914,8.097,0.138,4,3,1275175137,F43,NOT,"358.28914,8.097",TRUE,358.28914,8.097,0.138,4,3,1212803025,F34,LEN,"358.28914,8.097",0.951087415
TRUE,439.35018,8.102,0.099,2,1,11264167.96,F35,NOT,"439.35018,8.102",TRUE,439.35018,8.102,0.082,2,1,13081026.81,F27,LEN,"439.35018,8.102",1.161295433
TRUE,110.10977,8.111,0.061,2,1,21276387.63,F36,NOT,"110.10977,8.111",TRUE,110.10977,8.111,0.06,2,1,9382395.438,F26,LEN,"110.10977,8.111",0.440976899
TRUE,110.10974,8.112,0.061,2,1,13231581.38,F35,NOT,"110.10974,8.112",TRUE,110.10974,8.112,0.054,2,1,13285605.88,F25,LEN,"110.10974,8.112",1.004082996
TRUE,456.19805,8.118,0.098,3,1,21210263.63,F43,NOT,"456.19805,8.118",TRUE,456.19805,8.118,0.095,4,1,42694365.07,F34,LEN,"456.19805,8.118",2.012910627
TRUE,391.31056,8.119,0.162,3,1,115313628.2,F43,NOT,"391.31056,8.119",TRUE,391.31056,8.119,0.161,3,1,102279972.2,F33,LEN,"391.31056,8.119",0.886972111
TRUE,286.23199,8.12,0.079,3,2,186402781.6,F44,NOT,"286.23199,8.12",TRUE,286.23199,8.12,0.085,3,2,200234271.6,F33,LEN,"286.23199,8.12",1.074202165
TRUE,317.29213,8.124,0.194,2,1,58941112.83,F44,NOT,"317.29213,8.124",TRUE,317.29213,8.124,0.185,2,1,54628314.58,F33,LEN,"317.29213,8.124",0.926828693
TRUE,317.2925,8.131,0.179,2,1,57114281.38,F37,NOT,"317.2925,8.131",TRUE,317.2925,8.131,0.189,2,1,50185346.03,F29,LEN,"317.2925,8.131",0.878682964
