MWRT,NOT,LEN,BTZ,LBH
"331.19835,7.862",9945772.327,0,8662189.229,0
"310.15907,7.864",9731369.855,0,12030179.94,0
"286.15978,7.869",7960314.681,0,7098095.176,0
"224.12276,7.871",13152334.86,0,17946447.26,0
"216.11791,7.893",48558966.8,0,59805279.65,0
"348.21163,7.915",84674680.43,0,78844935.3,0
"266.18776,7.919",37171864.57,0,47632288.72,0
"230.13347,7.923",66986625.15,0,59416820.99,0
"254.16954,7.949",114105017.1,0,165991378.8,0
"260.18101,7.96",266190393,0,214494447.6,0
"196.18236,8",55661929,0,43703580.02,0
"240.19046,8.037",133757460.9,0,101445412,0
"240.20831,8.043",37742060.27,0,24376670.39,0
"294.18678,8.071",40418996,0,41767519.12,0
"414.10597,8.093",13684156.63,0,14567960.06,0
"412.20873,8.095",28235227.73,0,26285275.97,0
"358.28966,8.098",1340796065,0,1274615732,0
"527.40276,8.11",11025831.14,0,10215092.63,0
"110.10977,8.111",21276387.63,9382395.438,14322925.11,0
"110.10974,8.111",18291874.86,0,24416553.34,0
"268.22191,8.119",251730799.9,0,131380567.8,0
"293.25307,8.201",75601790.74,0,51257693.55,0
"321.28487,8.289",52859267.84,0,28024029.31,0
"272.21318,8.308",83579724.28,0,64242246.65,0
"534.46284,8.329",22163312.48,0,9145929.71,0
"359.24101,8.333",32333848.71,0,42558095.53,0
"359.24111,8.336",44884282.41,0,41474987.36,0
"371.2487,8.345",28024281.31,0,20014622.46,0
"371.24837,8.348",55197035.38,0,14932590.08,0
"680.4663,8.351",7995543.674,0,8078615.573,0
"281.27123,8.36",14270636.59,0,16104402.96,0
"258.18288,8.363",24047354.38,0,23953303.65,0
"255.25536,8.382",28284485.68,25301690.03,27355612.22,0
"325.29759,8.439",405027323.2,352211743.7,341019884.6,0
"418.30782,8.467",68601922.91,0,101776220.2,0
"311.3181,8.705",304960417.3,0,168667344.3,0
"311.3178,8.707",329146690.5,0,242464078.3,0
"330.21471,9.924",24243714.38,0,17339134.2,0
"212.18857,10.015",141458087.9,0,113748373.5,0
"315.16747,10.219",12164273.72,0,8845350.462,0
"415.27733,10.297",22036901.32,0,16272598.15,0
"300.24071,10.383",222418833.1,0,253741708.1,0
"268.17821,10.448",31323747.25,0,20072045.21,0
"268.178,10.448",17110296.43,0,15587615.4,0
"299.17232,10.566",16768455.98,0,13721914.57,0
"503.33019,10.575",17555485.98,0,12896600.7,0
"282.23024,10.645",15082094.49,0,66331935.79,0
"546.32474,10.799",59939350.69,0,66295342.56,0
"473.3188,10.835",470044335.7,0,78640123.95,0
"570.35068,10.836",9599819.106,8608230.931,7740209.921,0
"258.10967,10.861",7801461.408,0,9667389.628,0
"324.24065,10.931",47326303.43,0,41408644.08,0
"180.16222,10.936",17972467.58,0,16430114.43,0
"317.18285,10.962",24608867.57,0,29411909.18,0
"517.34557,10.962",21334255.73,33955313.96,42592043.57,0
"277.20363,10.983",303503609.7,0,285360167,0
"298.16054,11.011",32370905.11,0,25765256.2,0
"383.31371,11.014",84162811.31,0,70151833.48,0
"312.17622,11.015",188859653,0,130828400.6,0
"406.36618,11.041",37970175.42,0,8999919.845,0
"244.0394,11.063",14944087.44,0,22919004.64,0
"756.48178,11.116",17200578.21,0,15485308.55,0
"475.28057,11.126",7023724.467,0,34510346.35,0
"366.28752,11.134",58862837.11,0,56968227.73,0
"605.39757,11.143",12058595.77,0,11293820.72,0
"253.16742,11.179",49536741.39,0,28676001.69,0
"800.50797,11.186",13088449.96,0,15488961.56,0
"604.36548,11.227",129706566.2,0,74681776.85,0
"141.11511,11.347",60741517.49,0,53258431.11,0
"188.9595,11.382",14047777.97,0,17369414.79,0
"131.9376,11.388",63369901.49,0,92017470.09,86917779.6
"115.94263,11.389",504838177,0,569032285.8,0
"117.94082,11.389",321580718.8,0,258444915.9,0
"245.17732,11.389",24969935.31,0,17527825.48,0
"204.87594,11.39",12036826.72,0,12766493.16,0
"243.14638,11.433",46343524.48,0,24777204.76,0
"162.06772,11.444",103225615.6,0,101675986.6,0
"192.07842,11.487",25633824.49,0,24333662.18,0
"561.3355,11.489",22977001.87,0,20802047.47,0
"304.15174,11.498",186339089.7,0,136270936.2,0
"258.12514,11.552",12472232.95,0,13051603.12,0
"369.2357,11.555",10887140.38,0,15815620.38,0
"405.34441,11.562",45847905.27,0,34963663.88,0
"416.07637,11.572",16256551.24,0,12506433.53,0
"337.2459,11.574",8463146.057,0,46604599.17,0
"565.41777,11.579",13243648.84,0,12850006.62,0
"635.40831,11.59",9300555.955,0,12205778.24,16386241.06
"609.44451,11.592",17356401.01,0,20544759.5,0
"285.15712,11.598",97662613.25,0,91348897.61,0
"299.13625,11.602",10545177.63,0,12073275.59,0
"283.1411,11.617",14412851.43,0,11459088.31,0
"268.25105,11.618",16223391.24,0,67331339.61,39133886.44
"354.25115,11.643",12606347.67,0,10317260.66,0
"625.47508,11.679",55450822.78,0,62672924.42,0
"625.47563,11.68",51653822.34,51240469.09,55163621.65,0
"669.50121,11.699",34141199.13,0,40536463.7,0
"145.02234,11.707",46773023.24,0,43793722.63,0
"104.02644,11.718",67718857.73,0,160875603.5,0
"713.52703,11.722",19367615.34,0,20202863.47,0
"331.1989,11.747",67168395.29,0,53990972.54,0
"384.26193,11.779",191274175.6,0,164609214.6,0
"481.28737,11.805",16707149.5,0,67507044.3,0
"398.27727,11.813",36885138.98,0,48271073.37,0
"158.05777,11.851",26685726.48,0,22365827.7,0
"424.26649,11.879",77812985.96,0,460740360.8,0
"300.03367,12.097",136347948.7,0,99822608.5,0
"225.17238,12.116",38123746.66,0,72668191.3,0
"267.14686,12.165",258866202.4,0,138136245.1,0
"336.18965,12.197",27272295.48,0,20328777.66,0
"154.06273,12.268",77659173.39,0,63315205.64,0
"281.19847,12.269",81776980.47,0,20099022.24,0
"514.36113,12.289",87191145.7,0,69138436.18,0
"452.36025,12.326",145874420.1,0,95493016.43,0
"422.31362,12.353",166650226.2,0,167443308.8,0
"422.31334,12.356",135478533.7,0,79189388.61,0
"170.05772,12.361",56272658.12,69560439.36,44699395.35,0
"383.05495,12.361",20858513,0,14492742.98,0
"258.11046,12.382",36811246.57,0,107395424.7,0
"207.08901,12.417",41488517.15,0,35461734.91,0
"268.17821,12.44",12579249.05,0,11201225.54,0
"216.13586,12.449",220141916.2,0,204434903.6,0
"534.15073,12.475",15778446.81,0,29576926.92,0
"180.042,12.479",195799933.8,0,178713050.6,0
"453.35585,12.487",17042754.8,24109727.27,12516275.33,0
"256.04918,12.511",16730165.61,0,11421642.46,0
"443.33641,12.518",26678104.12,0,16856335.99,0
"335.22117,12.625",61914559.64,0,83245973.19,0
