"F_126","F_127N","F_127C","F_128N","F_130C","F_131N","F_131C","F_132N","ID","Acc"
40321.386224,39355.636711,24766.388183,35940.679687,47202.42383,41987.464846,38842.033198,63825.86768,"547751","547751"
97853.8458374,98002.4094264,122364.2354146,107941.0748232,161559.6688194,98007.1069856,169743.5643238,264968.355708,"A0AVT1","A0AVT1"
189772.534184,203789.572752,253568.76661,223002.13477,336162.75879,189418.513684,358386.58887,571677.9161,"A0FGR8","A0FGR8"
36990.708003,36415.005363,44992.03271,40066.204597,57584.64257,34486.437007,59849.85743,94052.68554,"A1L0T0","A1L0T0"
3526.039794,3183.314942,3742.562012,2874.131104,5374.181152,3544.235352,5926.759278,7797.950196,"A2RRP1","A2RRP1"
386.1066284,447.0362244,358.1774902,314.6742554,532.7005615,346.5697937,501.1804199,1116.349365,"A2RTX5","A2RTX5"
25299.777344,25342.203128,34237.02637,29452.622066,41168.861326,24064.541016,42065.060546,62305.45314,"A2RUS2","A2RUS2"
6225.358886,6170.472168,7143.632812,7867.54004,9267.223632,6593.738282,10673.535156,17886.480468,"A3KMH1","A3KMH1"
19029.4103389,17045.9997562,20476.8082282,20575.7446284,29109.921875,19333.4955438,31238.01001,54414.573974,"A3KN83","A3KN83"
328805.2142396,327321.339422,376184.255183,369655.9898112,537037.1664703,326912.7795248,606023.1992643,943301.678078,"A5YKK6","A5YKK6"
52664.08594,51152.36718,53875.47266,58416.73634,84503.78906,51852.68944,98331.23438,130249.02734,"A6NEE1","A6NEE1"
60396.097053,61120.426035,68157.504152,65755.901858,100853.237321,56240.502933,116526.582768,175807.500975,"A6NHR9","A6NHR9"
441.794098,877.3226318,1406.1186524,1173.5665284,1094.0161132,1133.0108642,1799.720459,2541.340576,"A7E2V4","A7E2V4"
4259.755859,5468.263184,5498.20166,4564.561523,7231.791504,4291.40625,8119.575684,12170.02734,"A8MXV4","A8MXV4"
207010.1982558,232062.610378,288066.687752,251848.952896,360605.5559,214486.734635,372807.357886,632213.765632,"B0I1T2","B0I1T2"
11700.854492,13384.294922,14155.884766,13405.776368,20236.47266,11146.68457,20994.76172,38608.0625,"E9PRG8","E9PRG8"
5965.872559,6477.175781,7252.232422,7112.578613,11161.97266,6960.409668,10723.49121,16523.9375,"H7BZ55","H7BZ55"
111058.8796384,125112.7194808,142667.5680014,131329.1987471,191351.1464932,116330.5180608,207469.829095,325431.377468,"O00116","O00116"
17191.109863,17837.485351,22761.562499,20888.309083,30481.627934,18896.79004,33969.818356,51477.097654,"O00139","O00139"
424711.1967723,461029.5395983,561976.5126732,492430.8245732,724135.0539628,405074.6870775,820776.4573342,1311433.5441261,"O00148","O00148"
880213.3595639,877592.2792856,1076809.9768894,1087111.91476,1523154.3145528,932537.2893007,1490983.1201774,2416831.4817594,"O00151","O00151"
16092.620118,16942.949218,20534.23242,20292.20704,29437.28906,15491.146484,32001.40626,53022.14454,"O00154","O00154"
26569.17236,30054.247558,37070.878172,32676.152352,41254.716056,30791.248668,44125.954106,76248.833976,"O00159","O00159"
585390.020908,568134.720598,701354.7636022,685117.552038,946463.216068,599817.106882,1040339.069536,1588544.254776,"O00160","O00160"
10640.366698,11478.029052,12807.191406,10954.850342,15109.021972,9974.24951,14859.017578,22316.083008,"O00161","O00161"
16988.75,15485.039062,22924.66406,19735.216796,24582.60546,18435.144532,22964.74218,39566.03126,"O00165","O00165"
14481.392578,15966.27832,17661.27539,17840.414062,23475.00782,15962.548828,28174.89454,39894.17578,"O00170","O00170"
27083.645996,26578.313476,35982.353516,28255.830078,46469.129882,26074.10791,52228.125984,77305.163086,"O00178","O00178"
10781.336304,10168.1290292,11857.5854502,11570.204467,14038.2546386,8925.1086728,16926.9783944,24632.71216,"O00186","O00186"
453615.8623348,451558.7472674,558801.430461,531149.1437844,638688.9557182,431737.264319,667787.3987014,1054061.9815826,"O00193","O00193"
251344.25342,239710.460942,299112.875496,282501.927508,408373.622002,249743.197044,436966.503934,679964.928666,"O00203","O00203"
37722.43798,52691.414555,53784.839846,51320.510268,71242.353522,41548.628902,74751.495124,116796.513676,"O00217","O00217"
48684.431152,56977.924316,64641.95118,62672.102538,89791.217764,51867.33154,99763.851562,157157.677736,"O00231","O00231"
417.6394042,531.8547974,470.9125184,256.4755554,827.9578248,404.1997558,1207.0893554,705.8934326,"O00232","O00232"
780.43573,1018.964233,1131.571533,1123.56604,1793.254395,953.0824585,1555.109619,1961.651123,"O00244","O00244"
627669.4191804,647898.0834586,804373.1383496,716127.3731182,1222251.9529472,679719.6342654,1136080.1525364,1742622.542537,"O00267","O00267"
10528.088014,10023.494629,12767.61548,12052.0961908,17773.378662,11689.750978,19261.79541,31076.436034,"O00273","O00273"
32698.536622,34960.035645,41136.036379,35239.723145,51510.948742,34483.306397,56030.405774,83113.73682,"O00291","O00291"
1737906.64264677,2029388.15997946,2340052.20396778,2261121.3602041,3224994.7249579,1874655.766323,3392942.4495348,5482749.7586134,"O00299","O00299"
64539.450192,81324.71778,93500.379874,82267.931636,119222.25782,84920.327144,131457.66016,227303.1797,"O00303","O00303"
860.2998352,1060.8729064,1191.5010986,974.0971374,1796.6732788,1088.6548766,1471.9536134,2275.0716554,"O00308","O00308"
8581.840332,10655.80127,10450.290526,10803.53296,17487.113282,9141.526856,15900.430666,25906.75586,"O00330","O00330"
808637.89352,888185.973903,971255.5301566,898423.4609959,1350677.2873667,772377.1151293,1493725.1447277,2111616.433862,"O00410","O00410"
14512.433594,18045.710936,16759.429198,16720.086914,25414.323242,13384.93457,28379.305664,40606.945304,"O00411","O00411"
1369.836625,2030.64582064,1392.3466643,1157.9413451,1426.9143372,1516.9685364,1835.845581,2899.8726348,"O00418","O00418"
166800.39064,155876.90038,212797.33204,189175.9297,240580.66798,160449.78908,270716.58204,430265.2422,"O00422","O00422"
